10:59:41.614{'id': 6, 'coordinate': [145.0762244863039, 139.99695223697154]}
10:59:41.921{'coordinate': [112.53199504529309, 107.82506167247297], 'id': 16}
10:59:41.925{'id': 9, 'coordinate': [107.00190383228875, 539.9404939923085]}
10:59:41.926{'coordinate': [172.14571519007688, 527.5089693133051], 'id': 17}
10:59:41.926{'id': 18, 'coordinate': [101.1400895389128, 592.3323079503106]}
10:59:41.928{'coordinate': [106.6699566440455, 755.2645482323849], 'id': 12}
10:59:41.928{'coordinate': [154.53127380590098, 665.4733807854363], 'id': 3}
10:59:41.929{'id': 10, 'coordinate': [166.9790155004448, 395.05266335889104]}
10:59:41.930{'coordinate': [83.58584556747935, 356.3461074416781], 'id': 4}
10:59:41.930{'id': 20, 'coordinate': [115.99894784556339, 168.3243675949203]}
10:59:41.931{'coordinate': [104.862813106832, 255.43206091413555], 'id': 14}
10:59:41.931{'coordinate': [172.3286153845732, 752.8584728489367], 'id': 19}
10:59:41.934{'id': 13, 'coordinate': [176.27504873624494, 269.2172090985277]}
10:59:41.936{'coordinate': [171.9311625189991, 345.2472022257321], 'id': 5}
10:59:41.940{'id': 7, 'coordinate': [167.76562033143247, 594.0597595556667]}
10:59:41.947{'id': 8, 'coordinate': [105.98769226003631, 678.890665733017]}
10:59:41.968{'coordinate': [136.32729113399432, 517.1223130573237], 'id': 2}
10:59:42.108{'id': 6, 'coordinate': [135.2249113464454, 141.71498291785338]}
10:59:42.122{'coordinate': [95.98101985369561, 433.2962059110469], 'id': 1}
10:59:42.379{'id': 13, 'coordinate': [185.33005848349393, 273.4606509182332]}
10:59:42.380{'coordinate': [157.63752856708118, 655.9680569425236], 'id': 3}
10:59:42.380{'id': 7, 'coordinate': [174.91874439771897, 587.0717114668]}
10:59:42.380{'id': 8, 'coordinate': [115.98523071204357, 678.6687988796205]}
10:59:42.382{'id': 11, 'coordinate': [105.88550341571535, 400.37094037336334]}
10:59:42.383{'coordinate': [122.4383940543517, 109.19007400696756], 'id': 16}
10:59:42.383{'id': 9, 'coordinate': [116.8022845987465, 541.9285927907702]}
10:59:42.385{'coordinate': [181.3173950227989, 348.69664267087853], 'id': 5}
10:59:42.385{'id': 10, 'coordinate': [176.77481860053376, 397.06319603066925]}
10:59:42.386{'coordinate': [181.17485822809226, 523.2107631759661], 'id': 17}
10:59:42.386{'id': 18, 'coordinate': [110.56810744669536, 588.9987695403727]}
10:59:42.387{'coordinate': [103.32878935411163, 426.5131178702829], 'id': 1}
10:59:42.387{'coordinate': [170.99740888470868, 166.5090233936226], 'id': 15}
10:59:42.387{'coordinate': [88.90301468097522, 364.8153289300137], 'id': 4}
10:59:42.388{'coordinate': [116.6039479728546, 754.1174578788618], 'id': 12}
10:59:42.388{'coordinate': [138.1927493607932, 526.9467756687884], 'id': 2}
10:59:42.389{'coordinate': [114.23537572819839, 258.91847309696266], 'id': 14}
10:59:42.389{'coordinate': [180.59433846148784, 747.230167418724], 'id': 19}
10:59:42.545{'id': 6, 'coordinate': [140.62880503682064, 150.12913367613686]}
10:59:42.809{'coordinate': [94.2201837944711, 373.28455041834934], 'id': 4}
10:59:42.810{'id': 10, 'coordinate': [186.57062170062272, 399.07372870244745]}
10:59:42.810{'id': 8, 'coordinate': [125.98276916405084, 678.4469320262239]}
10:59:42.811{'coordinate': [132.34479306341032, 110.55508634146216], 'id': 16}
10:59:42.811{'coordinate': [190.20400126610764, 518.9125570386271], 'id': 17}
10:59:42.811{'id': 13, 'coordinate': [194.38506823074292, 277.70409273793877]}
10:59:42.812{'id': 7, 'coordinate': [182.07186846400546, 580.0836633779334]}
10:59:42.813{'coordinate': [160.74378332826137, 646.4627330996109], 'id': 3}
10:59:42.814{'coordinate': [126.5379393016637, 752.9703675253388], 'id': 12}
10:59:42.814{'id': 18, 'coordinate': [119.99612535447793, 585.6652311304348]}
10:59:42.815{'coordinate': [190.70362752659872, 352.14608311602495], 'id': 5}
10:59:42.817{'coordinate': [123.60793834956479, 262.40488527978977], 'id': 14}
10:59:42.817{'coordinate': [180.9968906616504, 166.61082807234715], 'id': 15}
10:59:42.818{'coordinate': [188.86006153840248, 741.6018619885114], 'id': 19}
10:59:43.001{'coordinate': [130.81131501636207, 533.6932137674337], 'id': 2}
10:59:43.003{'coordinate': [111.07182030956304, 432.84126701698614], 'id': 1}
10:59:43.004{'id': 6, 'coordinate': [146.03269872719588, 158.54328443442034]}
10:59:43.263{'coordinate': [199.23314430412302, 514.6143509012882], 'id': 17}
10:59:43.263{'id': 8, 'coordinate': [135.9803076160581, 678.2250651728273]}
10:59:43.264{'coordinate': [142.25119207246894, 111.92009867595675], 'id': 16}
10:59:43.264{'coordinate': [163.85003808944157, 636.9574092566982], 'id': 3}
10:59:43.264{'id': 18, 'coordinate': [129.4241432622605, 582.3316927204969]}
10:59:43.265{'id': 13, 'coordinate': [203.4400779779919, 281.9475345576443]}
10:59:43.265{'id': 7, 'coordinate': [189.22499253029196, 573.0956152890667]}
10:59:43.267{'coordinate': [190.99637243859215, 166.71263275107165], 'id': 15}
10:59:43.268{'coordinate': [136.4719306304728, 751.8232771718158], 'id': 12}
10:59:43.268{'coordinate': [200.08986003039854, 355.5955235611714], 'id': 5}
10:59:43.269{'id': 10, 'coordinate': [196.36642480071168, 401.08426137422566]}
10:59:43.287{'coordinate': [197.12578461531712, 735.9735565582987], 'id': 19}
10:59:43.291{'coordinate': [132.9805009709312, 265.8912974626169], 'id': 14}
10:59:43.432{'coordinate': [135.27150065249407, 542.6434508643625], 'id': 2}
10:59:43.455{'coordinate': [84.57279104069988, 375.916624325838], 'id': 4}
10:59:43.470{'id': 6, 'coordinate': [151.43659241757112, 166.95743519270383]}
10:59:43.740{'id': 10, 'coordinate': [206.16222790080064, 403.09479404600387]}
10:59:43.745{'coordinate': [205.39150769223176, 730.345251128086], 'id': 19}
10:59:43.746{'coordinate': [146.4059219592819, 750.6761868182928], 'id': 12}
10:59:43.748{'coordinate': [152.15759108152756, 113.28511101045135], 'id': 16}
10:59:43.749{'coordinate': [142.3530635922976, 269.377709645444], 'id': 14}
10:59:43.750{'id': 7, 'coordinate': [196.37811659657845, 566.1075672002]}
10:59:43.752{'coordinate': [166.95629285062176, 627.4520854137854], 'id': 3}
10:59:43.752{'id': 13, 'coordinate': [212.4950877252409, 286.19097637734984]}
10:59:43.753{'coordinate': [208.2622873421384, 510.3161447639492], 'id': 17}
10:59:43.753{'id': 20, 'coordinate': [125.99873741467607, 168.38924111390435]}
10:59:43.753{'id': 8, 'coordinate': [145.97784606806536, 678.0031983194307]}
10:59:43.754{'coordinate': [200.99585421553388, 166.8144374297962], 'id': 15}
10:59:43.754{'coordinate': [209.47609253419836, 359.0449640063178], 'id': 5}
10:59:43.761{'id': 6, 'coordinate': [156.84048610794636, 175.3715859509873]}
10:59:43.762{'id': 18, 'coordinate': [138.85216117004305, 578.998154310559]}
10:59:43.930{'coordinate': [139.73168628862607, 551.5936879612914], 'id': 2}
10:59:43.965{'coordinate': [75.29318501275363, 379.6434073844696], 'id': 4}
10:59:44.300{'coordinate': [162.06399009058617, 114.65012334494594], 'id': 16}
10:59:44.302{'coordinate': [210.99533599247562, 166.9162421085207], 'id': 15}
10:59:44.302{'coordinate': [81.06480696725696, 387.8097027510538], 'id': 4}
10:59:44.304{'id': 13, 'coordinate': [221.55009747248988, 290.4344181970554]}
10:59:44.305{'coordinate': [218.86232503799818, 362.4944044514642], 'id': 5}
10:59:44.306{'id': 8, 'coordinate': [155.97538452007262, 677.7813314660341]}
10:59:44.309{'id': 10, 'coordinate': [215.9580310008896, 405.1053267177821]}
10:59:44.312{'coordinate': [170.06254761180196, 617.9467615708727], 'id': 3}
10:59:44.312{'coordinate': [217.29143038015377, 506.0179386266102], 'id': 17}
10:59:44.314{'id': 7, 'coordinate': [203.53124066286495, 559.1195191113334]}
10:59:44.317{'coordinate': [213.6572307691464, 724.7169456978734], 'id': 19}
10:59:44.320{'coordinate': [156.339913288091, 749.5290964647697], 'id': 12}
10:59:44.326{'coordinate': [151.725626213664, 272.8641218282711], 'id': 14}
10:59:44.467{'id': 6, 'coordinate': [162.2443797983216, 183.7857367092708]}
10:59:44.493{'coordinate': [120.94289953789624, 434.4418278149469], 'id': 1}
10:59:44.564{'coordinate': [144.19187192475806, 560.5439250582202], 'id': 2}
10:59:44.923{'coordinate': [173.16880237298216, 608.44143772796], 'id': 3}
10:59:44.923{'coordinate': [226.32057341816915, 501.7197324892712], 'id': 17}
