11:07:17.699{'coordinate': [65.98196104062995, 680.600378033697], 'id': 8}
11:07:17.701{'coordinate': [148.56767111715018, 710.0914489184389], 'id': 3}
11:07:17.701{'id': 12, 'coordinate': [66.99470308350207, 761.3254385850419]}
11:07:17.702{'coordinate': [141.99972262877665, 629.0744805178032], 'id': 7}
11:07:17.702{'id': 13, 'coordinate': [140.055009747249, 252.24344181970554]}
11:07:17.702{'id': 17, 'coordinate': [136.45834762223942, 545.7535157082041]}
11:07:17.702{'id': 19, 'coordinate': [139.58387957125947, 775.8699891319692]}
11:07:17.703{'coordinate': [134.99584208356896, 327.71165811897686], 'id': 5}
11:07:17.703{'coordinate': [67.92833982912089, 531.1950180908639], 'id': 9}
11:07:17.703{'id': 11, 'coordinate': [68.81289748109657, 384.9253682830795]}
11:07:17.703{'id': 15, 'coordinate': [130.99948177694174, 166.10180467872453]}
11:07:17.703{'id': 18, 'coordinate': [63.42801790778256, 605.6664615900621]}
11:07:17.703{'id': 6, 'coordinate': [131.3585785961391, 112.7713603540532]}
11:07:17.704{'coordinate': [127.7925108165065, 387.0265073176781], 'id': 10}
11:07:17.704{'id': 1, 'coordinate': [63.23892135491401, 444.3325336430163]}
11:07:17.705{'coordinate': [128.86545822679886, 477.82446261146475], 'id': 2}
11:07:17.705{'coordinate': [72.9990626180465, 101.13691880946496], 'id': 16}
11:07:17.707{'coordinate': [66.88635049011387, 312.4966457547786], 'id': 4}
11:07:17.707{'coordinate': [75.98683583841897, 167.4870575700232], 'id': 20}
11:07:17.708{'coordinate': [67.3725626213664, 241.4864121828271], 'id': 14}
11:07:18.036{'coordinate': [151.9994452575533, 629.1489610356064], 'id': 7}
11:07:18.040{'coordinate': [76.7451252427328, 244.97282436565422], 'id': 14}
11:07:18.041{'coordinate': [76.77270098022774, 310.99329150955725], 'id': 4}
11:07:18.041{'coordinate': [82.99812523609299, 101.27383761892992], 'id': 16}
11:07:18.042{'coordinate': [158.13534223430037, 707.1828978368778], 'id': 3}
11:07:18.042{'coordinate': [77.85667965824177, 532.3900361817277], 'id': 9}
11:07:18.042{'id': 18, 'coordinate': [72.85603581556512, 602.3329231801242]}
11:07:18.045{'coordinate': [137.585021633013, 389.05301463535625], 'id': 10}
11:07:18.045{'coordinate': [75.96392208125991, 681.200756067394], 'id': 8}
11:07:18.045{'id': 11, 'coordinate': [78.62579496219314, 386.85073656615896]}
11:07:18.045{'id': 13, 'coordinate': [149.11001949449798, 256.4868836394111]}
11:07:18.046{'coordinate': [144.99168416713792, 327.4233162379537], 'id': 5}
11:07:18.046{'id': 12, 'coordinate': [76.98940616700415, 761.6508771700837]}
11:07:18.046{'id': 1, 'coordinate': [71.47784270982802, 438.6650672860326]}
11:07:18.047{'coordinate': [85.97367167683794, 166.97411514004642], 'id': 20}
11:07:18.047{'id': 15, 'coordinate': [140.99896355388347, 166.20360935744907]}
11:07:18.047{'id': 17, 'coordinate': [145.91669524447883, 542.5070314164082]}
11:07:18.047{'id': 6, 'coordinate': [138.7171571922782, 119.5427207081064]}
11:07:18.048{'coordinate': [130.73091645359773, 487.6489252229295], 'id': 2}
11:07:18.048{'id': 19, 'coordinate': [148.16775914251895, 770.7399782639384]}
11:07:18.357{'coordinate': [92.99718785413948, 101.41075642839488], 'id': 16}
