11:12:17.200{'coordinate': [96.54540196045548, 307.9865830191145], 'id': 4}
11:12:17.540{'id': 8, 'coordinate': [105.98769226003631, 678.890665733017]}
11:12:17.541{'coordinate': [173.91939785629737, 755.349945659846], 'id': 19}
11:12:17.541{'coordinate': [174.29173811119708, 532.7675785410204], 'id': 17}
11:12:17.541{'id': 13, 'coordinate': [178.47553862973007, 263.6867215127]}
11:12:17.541{'id': 16, 'coordinate': [112.99531309023246, 101.6845940473248]}
11:12:17.542{'coordinate': [174.9792104178448, 326.5582905948843], 'id': 5}
11:12:17.542{'id': 10, 'coordinate': [166.9790155004448, 395.05266335889104]}
11:12:17.542{'id': 2, 'coordinate': [136.32729113399432, 517.1223130573237]}
11:12:17.543{'id': 12, 'coordinate': [106.9949201172987, 761.7127148552695]}
11:12:17.543{'id': 3, 'coordinate': [186.838355585751, 698.4572445921946]}
11:12:17.544{'coordinate': [107.00190383228875, 539.9404939923085], 'id': 9}
11:12:17.545{'coordinate': [101.1400895389128, 592.3323079503106], 'id': 18}
11:12:17.546{'coordinate': [106.43175245056935, 306.48322877389313], 'id': 4}
11:12:17.546{'coordinate': [115.93417919209485, 165.43528785011605], 'id': 20}
11:12:17.547{'coordinate': [181.99861314388326, 629.3724025890159], 'id': 7}
11:12:17.550{'id': 15, 'coordinate': [170.99740888470868, 166.5090233936226]}
11:12:17.552{'id': 6, 'coordinate': [160.79289298069548, 139.856801770266]}
11:12:17.556{'coordinate': [104.862813106832, 255.43206091413555], 'id': 14}
11:12:17.746{'id': 1, 'coordinate': [95.98101985369561, 433.2962059110469]}
11:12:17.991{'coordinate': [116.8022845987465, 541.9285927907702], 'id': 9}
11:12:17.994{'id': 2, 'coordinate': [138.1927493607932, 526.9467756687884]}
11:12:17.994{'id': 8, 'coordinate': [115.98523071204357, 678.6687988796205]}
11:12:17.996{'coordinate': [125.92101503051381, 164.92234542013927], 'id': 20}
11:12:17.996{'coordinate': [182.50327742755684, 750.2199347918151], 'id': 19}
11:12:17.996{'coordinate': [183.7500857334365, 529.5210942492245], 'id': 17}
11:12:17.997{'coordinate': [105.88550341571535, 400.37094037336334], 'id': 11}
11:12:17.997{'coordinate': [114.23537572819839, 258.91847309696266], 'id': 14}
11:12:17.997{'coordinate': [191.9983357726599, 629.4468831068191], 'id': 7}
11:12:17.997{'id': 16, 'coordinate': [122.99437570827895, 101.82151285678975]}
11:12:17.997{'id': 3, 'coordinate': [196.40602670290122, 695.5486935106336]}
11:12:17.998{'coordinate': [184.97505250141376, 326.26994871386114], 'id': 5}
11:12:17.998{'id': 10, 'coordinate': [176.77481860053376, 397.06319603066925]}
11:12:17.998{'id': 12, 'coordinate': [116.99390414075845, 761.8552578263234]}
11:12:17.998{'id': 13, 'coordinate': [187.97064635567608, 266.82406581524]}
11:12:17.999{'id': 1, 'coordinate': [103.32878935411163, 426.5131178702829]}
11:12:18.000{'coordinate': [116.31810294068322, 304.97987452867176], 'id': 4}
11:12:18.001{'coordinate': [110.56810744669536, 588.9987695403727], 'id': 18}
11:12:18.156{'id': 6, 'coordinate': [153.82854875233562, 147.03300616178876]}
11:12:18.462{'id': 16, 'coordinate': [132.99343832632545, 101.95843166625471]}
11:12:18.463{'id': 13, 'coordinate': [197.4657540816221, 269.96141011777996]}
11:12:18.463{'id': 3, 'coordinate': [205.97369782005143, 692.6401424290725]}
11:12:18.464{'coordinate': [193.2084333556759, 526.2746099574285], 'id': 17}
11:12:18.464{'id': 8, 'coordinate': [125.98276916405084, 678.4469320262239]}
11:12:18.465{'coordinate': [135.90785086893277, 164.40940299016248], 'id': 20}
11:12:18.466{'coordinate': [201.99805840143657, 629.5213636246223], 'id': 7}
11:12:18.468{'coordinate': [123.60793834956479, 262.40488527978977], 'id': 14}
11:12:18.469{'coordinate': [119.99612535447793, 585.6652311304348], 'id': 18}
11:12:18.469{'coordinate': [126.20445343079709, 303.4765202834504], 'id': 4}
11:12:18.469{'coordinate': [194.97089458498272, 325.981606832838], 'id': 5}
11:12:18.469{'id': 10, 'coordinate': [186.57062170062272, 399.07372870244745]}
11:12:18.474{'id': 12, 'coordinate': [126.99288816421819, 761.9978007973773]}
11:12:18.476{'coordinate': [191.0871569988163, 745.0899239237843], 'id': 19}
11:12:18.620{'id': 1, 'coordinate': [111.07182030956304, 432.84126701698614]}
11:12:18.626{'id': 6, 'coordinate': [144.50574303939877, 150.65036619900266]}
11:12:18.635{'id': 2, 'coordinate': [130.81131501636207, 533.6932137674337]}
11:12:19.102{'coordinate': [129.4241432622605, 582.3316927204969], 'id': 18}
11:12:19.102{'coordinate': [204.96673666855168, 325.69326495181485], 'id': 5}
11:12:19.102{'id': 3, 'coordinate': [215.54136893720164, 689.7315913475115]}
11:12:19.103{'coordinate': [202.66678097791532, 523.0281256656326], 'id': 17}
11:12:19.103{'coordinate': [211.99778103021322, 629.5958441424254], 'id': 7}
11:12:19.104{'coordinate': [136.09080392091096, 301.973166038229], 'id': 4}
11:12:19.104{'id': 8, 'coordinate': [135.9803076160581, 678.2250651728273]}
11:12:19.105{'id': 10, 'coordinate': [196.36642480071168, 401.08426137422566]}
11:12:19.105{'id': 13, 'coordinate': [206.9608618075681, 273.09875442031995]}
11:12:19.106{'coordinate': [199.67103657007578, 739.9599130557535], 'id': 19}
11:12:19.107{'coordinate': [132.9805009709312, 265.8912974626169], 'id': 14}
11:12:19.107{'id': 12, 'coordinate': [136.99187218767793, 762.1403437684312]}
11:12:19.107{'id': 16, 'coordinate': [142.99250094437193, 102.09535047571967]}
11:12:19.269{'id': 1, 'coordinate': [120.94289953789624, 434.4418278149469]}
11:12:19.299{'id': 2, 'coordinate': [135.27150065249407, 542.6434508643625]}
11:12:19.364{'id': 6, 'coordinate': [152.1159544425691, 157.13763699642251]}
