10:39:47.226{'id': 15, 'coordinate': [160.99792710776694, 166.4072187148981]}
10:39:47.571{'id': 10, 'coordinate': [166.9790155004448, 395.05266335889104]}
10:39:47.586{'coordinate': [136.32729113399432, 517.1223130573237], 'id': 2}
10:39:47.586{'id': 17, 'coordinate': [172.14571519007688, 527.5089693133051]}
10:39:47.587{'coordinate': [101.1400895389128, 592.3323079503106], 'id': 18}
10:39:47.587{'coordinate': [154.53127380590098, 665.4733807854363], 'id': 3}
10:39:47.587{'id': 12, 'coordinate': [106.6699566440455, 755.2645482323849]}
10:39:47.589{'id': 5, 'coordinate': [161.5350861433778, 362.13484261712597]}
10:39:47.590{'coordinate': [115.99894784556339, 168.3243675949203], 'id': 20}
10:39:47.590{'coordinate': [172.3286153845732, 752.8584728489367], 'id': 19}
10:39:47.590{'coordinate': [176.27504873624494, 269.2172090985277], 'id': 13}
10:39:47.590{'id': 7, 'coordinate': [167.76562033143247, 594.0597595556667]}
10:39:47.592{'id': 15, 'coordinate': [170.99740888470868, 166.5090233936226]}
10:39:47.592{'id': 16, 'coordinate': [112.53199504529309, 107.82506167247297]}
10:39:47.592{'id': 4, 'coordinate': [104.28044637179657, 330.26528176465655]}
10:39:47.593{'coordinate': [104.862813106832, 255.43206091413555], 'id': 14}
10:39:47.593{'coordinate': [105.98769226003631, 678.890665733017], 'id': 8}
10:39:47.594{'coordinate': [137.3689603336666, 154.17956931726195], 'id': 6}
10:39:47.595{'coordinate': [107.00190383228875, 539.9404939923085], 'id': 9}
10:39:47.755{'id': 11, 'coordinate': [105.88550341571535, 400.37094037336334]}
10:39:48.013{'id': 16, 'coordinate': [122.4383940543517, 109.19007400696756]}
10:39:48.014{'id': 15, 'coordinate': [180.9968906616504, 166.61082807234715]}
10:39:48.014{'id': 17, 'coordinate': [181.17485822809226, 523.2107631759661]}
10:39:48.015{'coordinate': [157.63752856708118, 655.9680569425236], 'id': 3}
10:39:48.015{'id': 10, 'coordinate': [176.77481860053376, 397.06319603066925]}
10:39:48.015{'id': 5, 'coordinate': [168.84210337205337, 368.96181114055116]}
10:39:48.016{'coordinate': [116.8022845987465, 541.9285927907702], 'id': 9}
10:39:48.016{'id': 12, 'coordinate': [116.6039479728546, 754.1174578788618]}
10:39:48.017{'coordinate': [180.59433846148784, 747.230167418724], 'id': 19}
10:39:48.018{'coordinate': [110.56810744669536, 588.9987695403727], 'id': 18}
10:39:48.018{'coordinate': [138.1927493607932, 526.9467756687884], 'id': 2}
10:39:48.020{'coordinate': [115.98523071204357, 678.6687988796205], 'id': 8}
10:39:48.020{'coordinate': [185.33005848349393, 273.4606509182332], 'id': 13}
10:39:48.020{'id': 4, 'coordinate': [113.73653564615589, 333.51833811758786]}
10:39:48.020{'id': 7, 'coordinate': [174.91874439771897, 587.0717114668]}
10:39:48.021{'coordinate': [114.23537572819839, 258.91847309696266], 'id': 14}
10:39:48.163{'coordinate': [115.6751656081996, 178.3191244735426], 'id': 20}
10:39:48.187{'id': 11, 'coordinate': [115.26260409885842, 403.845128448036]}
10:39:48.411{'coordinate': [194.38506823074292, 277.70409273793877], 'id': 13}
10:39:48.413{'coordinate': [123.60793834956479, 262.40488527978977], 'id': 14}
10:39:48.413{'coordinate': [125.98276916405084, 678.4469320262239], 'id': 8}
10:39:48.413{'id': 17, 'coordinate': [190.20400126610764, 518.9125570386271]}
10:39:48.414{'coordinate': [188.86006153840248, 741.6018619885114], 'id': 19}
10:39:48.414{'id': 11, 'coordinate': [124.63970478200149, 407.3193165227087]}
10:39:48.415{'id': 15, 'coordinate': [190.99637243859215, 166.71263275107165]}
10:39:48.416{'id': 12, 'coordinate': [126.5379393016637, 752.9703675253388]}
10:39:48.420{'id': 7, 'coordinate': [182.07186846400546, 580.0836633779334]}
10:39:48.421{'coordinate': [119.99612535447793, 585.6652311304348], 'id': 18}
10:39:48.422{'id': 1, 'coordinate': [96.19460677457006, 421.66266821508157]}
10:39:48.422{'id': 4, 'coordinate': [123.1926249205152, 336.77139447051917]}
10:39:48.426{'coordinate': [160.74378332826137, 646.4627330996109], 'id': 3}
10:39:48.430{'id': 16, 'coordinate': [132.34479306341032, 110.55508634146216]}
10:39:48.568{'coordinate': [120.50753525297178, 187.07402045329496], 'id': 20}
10:39:48.593{'coordinate': [116.96608007792035, 551.927251252834], 'id': 9}
10:39:48.593{'id': 10, 'coordinate': [186.57062170062272, 399.07372870244745]}
10:39:48.866{'coordinate': [129.4241432622605, 582.3316927204969], 'id': 18}
10:39:48.866{'coordinate': [140.0427524003999, 163.81548318071435], 'id': 6}
10:39:48.867{'coordinate': [132.9805009709312, 265.8912974626169], 'id': 14}
10:39:48.867{'coordinate': [203.4400779779919, 281.9475345576443], 'id': 13}
10:39:48.868{'id': 4, 'coordinate': [132.64871419487451, 340.0244508234505]}
10:39:48.869{'id': 16, 'coordinate': [142.25119207246894, 111.92009867595675]}
10:39:48.870{'id': 12, 'coordinate': [136.4719306304728, 751.8232771718158]}
10:39:48.870{'id': 15, 'coordinate': [200.99585421553388, 166.8144374297962]}
10:39:48.871{'coordinate': [135.9803076160581, 678.2250651728273], 'id': 8}
10:39:48.873{'coordinate': [197.12578461531712, 735.9735565582987], 'id': 19}
10:39:48.877{'id': 7, 'coordinate': [189.22499253029196, 573.0956152890667]}
10:39:48.878{'coordinate': [163.85003808944157, 636.9574092566982], 'id': 3}
10:39:48.879{'id': 17, 'coordinate': [199.23314430412302, 514.6143509012882]}
10:39:48.884{'coordinate': [130.5068408508427, 186.95617495958774], 'id': 20}
