23:03:34.505{'id': 1, 'coordinate': [193.92171752035662, 72.23418912764373]}
23:03:34.687{'coordinate': [208.81666152297572, 631.1068720274475], 'id': 5}
23:03:34.690{'coordinate': [206.96778940866747, 829.7927162573933], 'id': 3}
23:03:34.694{'id': 2, 'coordinate': [208.89437171352654, 432.99186615888976]}
23:03:34.694{'id': 4, 'coordinate': [207.6967103532232, 254.00999562114967]}
23:03:34.701{'id': 1, 'coordinate': [203.7293248653789, 74.18632594812146]}
23:03:34.894{'coordinate': [218.80587690668017, 630.6425703820032], 'id': 5}
23:03:34.896{'id': 4, 'coordinate': [217.620046256354, 255.24587771651142]}
23:03:34.897{'coordinate': [216.84824760917732, 828.2511113313576], 'id': 3}
23:03:34.897{'id': 2, 'coordinate': [218.88815828491045, 433.3443288741186]}
23:03:34.898{'id': 1, 'coordinate': [213.5369322104012, 76.1384627685992]}
23:03:35.088{'coordinate': [226.72870580968717, 826.7095064053219], 'id': 3}
23:03:35.088{'id': 1, 'coordinate': [223.3445395554235, 78.09059958907693]}
23:03:35.089{'id': 4, 'coordinate': [227.54338215948476, 256.4817598118732]}
23:03:35.092{'id': 2, 'coordinate': [228.88194485629435, 433.6967915893474]}
23:03:35.098{'coordinate': [228.79509229038462, 630.178268736559], 'id': 5}
23:03:35.289{'id': 2, 'coordinate': [238.87573142767826, 434.04925430457627]}
23:03:35.290{'id': 4, 'coordinate': [237.46671806261554, 257.7176419072349]}
23:03:35.293{'id': 1, 'coordinate': [233.15214690044579, 80.04273640955466]}
23:03:35.300{'coordinate': [236.60916401019702, 825.1679014792862], 'id': 3}
23:03:35.310{'coordinate': [238.78430767408906, 629.7139670911147], 'id': 5}
23:03:35.496{'id': 1, 'coordinate': [242.95975424546808, 81.9948732300324]}
23:03:35.497{'coordinate': [246.48962221070687, 823.6262965532505], 'id': 3}
23:03:35.497{'id': 2, 'coordinate': [248.86951799906217, 434.40171701980506]}
23:03:35.497{'id': 4, 'coordinate': [247.39005396574632, 258.9535240025966]}
23:03:35.499{'coordinate': [248.7735230577935, 629.2496654456704], 'id': 5}
23:03:35.697{'id': 2, 'coordinate': [258.8633045704461, 434.7541797350339]}
23:03:35.707{'coordinate': [256.37008041121675, 822.0846916272149], 'id': 3}
23:03:35.707{'id': 1, 'coordinate': [252.76736159049037, 83.94701005051013]}
23:03:35.707{'id': 4, 'coordinate': [257.3133898688771, 260.1894060979584]}
23:03:35.712{'coordinate': [258.76273844149796, 628.7853638002262], 'id': 5}
23:03:35.902{'coordinate': [268.7519538252024, 628.321062154782], 'id': 5}
23:03:35.906{'coordinate': [266.2505386117266, 820.5430867011792], 'id': 3}
23:03:35.906{'id': 1, 'coordinate': [262.57496893551263, 85.89914687098786]}
23:03:35.906{'id': 4, 'coordinate': [267.23672577200784, 261.4252881933201]}
23:03:35.907{'id': 2, 'coordinate': [268.85709114183, 435.1066424502627]}
23:03:36.105{'coordinate': [278.74116920890685, 627.8567605093377], 'id': 5}
23:03:36.108{'id': 1, 'coordinate': [272.3825762805349, 87.8512836914656]}
23:03:36.109{'coordinate': [276.13099681223645, 819.0014817751435], 'id': 3}
23:03:36.118{'id': 2, 'coordinate': [278.8508777132139, 435.45910516549156]}
23:03:36.119{'id': 4, 'coordinate': [277.1600616751386, 262.6611702886819]}
23:03:36.313{'id': 2, 'coordinate': [288.8446642845978, 435.81156788072036]}
23:03:36.314{'coordinate': [286.0114550127463, 817.4598768491078], 'id': 3}
23:03:36.314{'id': 1, 'coordinate': [282.1901836255572, 89.80342051194333]}
23:03:36.316{'id': 4, 'coordinate': [287.08339757826934, 263.8970523840436]}
23:03:36.319{'coordinate': [288.7303845926113, 627.3924588638936], 'id': 5}
23:03:36.522{'coordinate': [295.89191321325615, 815.9182719230721], 'id': 3}
23:03:36.522{'id': 2, 'coordinate': [298.8384508559817, 436.1640305959492]}
23:03:36.523{'id': 4, 'coordinate': [297.0067334814001, 265.1329344794053]}
23:03:36.531{'coordinate': [298.71959997631575, 626.9281572184493], 'id': 5}
23:03:36.536{'id': 1, 'coordinate': [291.9977909705795, 91.75555733242106]}
23:03:36.725{'id': 1, 'coordinate': [301.8053983156018, 93.7076941528988]}
23:03:36.728{'coordinate': [305.772371413766, 814.3766669970364], 'id': 3}
23:03:36.729{'coordinate': [308.7088153600202, 626.4638555730052], 'id': 5}
23:03:36.729{'id': 2, 'coordinate': [308.8322374273656, 436.516493311178]}
23:03:36.729{'id': 4, 'coordinate': [306.93006938453084, 266.3688165747671]}
23:03:36.913{'id': 4, 'coordinate': [316.8534052876616, 267.60469867012887]}
23:03:36.921{'coordinate': [315.65282961427584, 812.8350620710007], 'id': 3}
23:03:36.922{'id': 1, 'coordinate': [311.6130056606241, 95.65983097337653]}
23:03:36.926{'coordinate': [318.69803074372464, 625.9995539275609], 'id': 5}
23:03:36.930{'id': 2, 'coordinate': [318.8260239987495, 436.86895602640686]}
23:03:37.111{'id': 1, 'coordinate': [321.4206130056464, 97.61196779385426]}
23:03:37.112{'coordinate': [325.5332878147857, 811.293457144965], 'id': 3}
23:03:37.112{'coordinate': [328.6872461274291, 625.5352522821167], 'id': 5}
23:03:37.112{'id': 4, 'coordinate': [326.77674119079234, 268.8405807654906]}
23:03:37.122{'id': 2, 'coordinate': [328.8198105701334, 437.22141874163566]}
23:03:37.320{'coordinate': [338.67646151113354, 625.0709506366725], 'id': 5}
23:03:37.321{'id': 4, 'coordinate': [336.7000770939231, 270.0764628608523]}
23:03:37.322{'coordinate': [335.41374601529554, 809.7518522189293], 'id': 3}
23:03:37.322{'id': 1, 'coordinate': [331.22822035066866, 99.564104614332]}
23:03:37.322{'id': 2, 'coordinate': [338.81359714151733, 437.5738814568645]}
23:03:37.528{'coordinate': [348.665676894838, 624.6066489912283], 'id': 5}
23:03:37.528{'id': 2, 'coordinate': [348.80738371290124, 437.9263441720933]}
23:03:37.528{'id': 4, 'coordinate': [346.62341299705383, 271.3123449562141]}
23:03:37.531{'id': 1, 'coordinate': [341.03582769569095, 101.51624143480973]}
23:03:37.536{'coordinate': [345.2942042158054, 808.2102472928937], 'id': 3}
23:03:37.736{'coordinate': [355.17466241631524, 806.668642366858], 'id': 3}
23:03:37.745{'id': 2, 'coordinate': [358.80117028428515, 438.27880688732216]}
23:03:37.748{'id': 4, 'coordinate': [356.5467489001846, 272.5482270515758]}
23:03:37.750{'coordinate': [358.65489227854243, 624.1423473457841], 'id': 5}
23:03:37.758{'id': 1, 'coordinate': [350.84343504071325, 103.46837825528746]}
23:03:37.954{'coordinate': [365.0551206168251, 805.1270374408223], 'id': 3}
23:03:37.954{'id': 4, 'coordinate': [366.47008480331533, 273.78410914693757]}
